id,title,manifest,canvas,license
PR-FC-00171-00010-00007,太平軍目 (FC.171.10(7)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00010-00007,72,CC BY-NC 4.0 (PD work)
PR-FC-00171-00012-00003,建天京於金陵論 (FC.171.12(3)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00012-00003,68,CC BY-NC 4.0 (PD work)
MS-FH-00020-00047,天元玉曆祥異賦 癸[MS] (FH.20.47),https://cudl.lib.cam.ac.uk/iiif/MS-FH-00020-00047,68,CC BY-NC 4.0 (PD work)
PR-FB-00434-00032,登瀛篇 (FB.434.32),https://cudl.lib.cam.ac.uk/iiif/PR-FB-00434-00032,66,CC BY-NC 4.0 (PD work)
PR-FC-00171-00009-00001,太平天国癸好三年新曆 (FC.171.9(1)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00009-00001,62,CC BY-NC 4.0 (PD work)
PR-FC-00171-00009-00004,太平天国戊午捌年新曆 (FC.171.9(4)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00009-00004,60,CC BY-NC 4.0 (PD work)
PR-FC-00171-00011-00001,太平天国甲寅四年新曆 (FC.171.11(1)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00011-00001,60,CC BY-NC 4.0 (PD work)
PR-FC-00171-00009-00002,天理要論 (FC.171.9(2)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00009-00002,56,CC BY-NC 4.0 (PD work)
PR-FC-00171-00007-00006,資政新篇 (FC.171.7(6)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00007-00006,54,CC BY-NC 4.0 (PD work)
PR-FC-00171-00011-00007,三字經 (FC.171.11(7)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00011-00007,52,CC BY-NC 4.0 (PD work)
PR-FH-00910-00222,芥子園畫傳三集：翎毛花卉譜上冊 (FH.910.222),https://cudl.lib.cam.ac.uk/iiif/PR-FH-00910-00222,50,CC BY-NC 4.0 (PD work)
PR-FH-00910-00216,芥子園畫譜：花卉翎毛起手式 上冊 (FH.910.216),https://cudl.lib.cam.ac.uk/iiif/PR-FH-00910-00216,47,CC BY-NC 4.0 (PD work)
PR-FH-00910-00221,芥子園畫傳三集：草蟲花卉譜下冊 (FH.910.221),https://cudl.lib.cam.ac.uk/iiif/PR-FH-00910-00221,47,CC BY-NC 4.0 (PD work)
PR-FH-00910-00218,芥子園畫譜：[花]卉草蟲起手式 上冊 (FH.910.218),https://cudl.lib.cam.ac.uk/iiif/PR-FH-00910-00218,46,CC BY-NC 4.0 (PD work)
PR-FH-00910-00220,芥子園畫傳三集：草蟲花卉譜上冊 (FH.910.220),https://cudl.lib.cam.ac.uk/iiif/PR-FH-00910-00220,46,CC BY-NC 4.0 (PD work)
PR-FH-00910-00223,芥子園畫傳三集：翎毛花卉譜下冊 (FH.910.223),https://cudl.lib.cam.ac.uk/iiif/PR-FH-00910-00223,46,CC BY-NC 4.0 (PD work)
PR-FC-00171-00011-00002,貶妖穴爲罪隸論 (FC.171.11(2)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00011-00002,46,CC BY-NC 4.0 (PD work)
PR-FH-00910-00217,芥子園畫譜：草蟲花卉譜 下冊 (FH.910.217),https://cudl.lib.cam.ac.uk/iiif/PR-FH-00910-00217,45,CC BY-NC 4.0 (PD work)
PR-FH-00910-00225,[芥子園畫傳：草蟲花卉譜下冊] (FH.910.225),https://cudl.lib.cam.ac.uk/iiif/PR-FH-00910-00225,45,CC BY-NC 4.0 (PD work)
PR-FH-00910-00226,[芥子園畫傳：草蟲花卉譜上冊] (FH.910.226),https://cudl.lib.cam.ac.uk/iiif/PR-FH-00910-00226,45,CC BY-NC 4.0 (PD work)
PR-FH-00910-00227,[芥子園畫傳：翎毛花卉譜下冊] (FH.910.227),https://cudl.lib.cam.ac.uk/iiif/PR-FH-00910-00227,45,CC BY-NC 4.0 (PD work)
PR-FH-00910-00219,芥子園畫譜：翎毛花果譜 下冊 (FH.910.219),https://cudl.lib.cam.ac.uk/iiif/PR-FH-00910-00219,43,CC BY-NC 4.0 (PD work)
PR-FC-00171-00008-00004,太平詔書 (FC.171.8(4)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00008-00004,42,CC BY-NC 4.0 (PD work)
PR-FC-00171-00012-00002,御製千字詔 (FC.171.12(2)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00012-00002,40,CC BY-NC 4.0 (PD work)
PR-FH-00910-00224,[芥子園畫傳：翎毛花卉譜上冊] (FH.910.224),https://cudl.lib.cam.ac.uk/iiif/PR-FH-00910-00224,39,CC BY-NC 4.0 (PD work)
MS-FH-00310-00026,Zhen zhou xu zhi (FH.310.26),https://cudl.lib.cam.ac.uk/iiif/MS-FH-00310-00026,38,CC BY-NC 4.0 (PD work)
PR-FC-00171-00007-00003,詔書蓋璽頒行論 (FC.171.7(3)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00007-00003,38,CC BY-NC 4.0 (PD work)
PR-FC-00171-00012-00001,御製千字詔 (FC.171.12(1)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00012-00001,38,CC BY-NC 4.0 (PD work)
PR-FC-00171-00008-00005,天父下凡詔書 (FC.171.8(5)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00008-00005,36,CC BY-NC 4.0 (PD work)
PR-FC-00171-00010-00001,克敵誘惑論 (FC.171.10(1)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00010-00001,36,CC BY-NC 4.0 (PD work)
PR-FC-00171-00008-00001,誅妖檄文 (FC.171.8(1)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00008-00001,34,CC BY-NC 4.0 (PD work)
PR-FC-00171-00011-00006,幼學詩 (FC.171.11(6)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00011-00006,34,CC BY-NC 4.0 (PD work)
PR-FC-00171-00007-00001,太平救世歌 (FC.171.7(1)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00007-00001,32,CC BY-NC 4.0 (PD work)
PR-FC-00171-00010-00005,天命詔旨書 (FC.171.10(5)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00010-00005,32,CC BY-NC 4.0 (PD work)
PR-FC-00171-00009-00005,醒世文 (FC.171.9(5)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00009-00005,30,CC BY-NC 4.0 (PD work)
PR-FC-00171-00007-00002,太平救世誥 (FC.171.7(2)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00007-00002,26,CC BY-NC 4.0 (PD work)
PR-FB-00555-00003,唐音精選五言 (FB.555.3),https://cudl.lib.cam.ac.uk/iiif/PR-FB-00555-00003,24,CC BY-NC 4.0 (PD work)
PR-FH-00990-00132,[歷代名家書法碑刻拓片] (FH.990.132(1)-(12)),https://cudl.lib.cam.ac.uk/iiif/PR-FH-00990-00132,24,CC BY-NC 4.0 (PD work)
