title,manifest,来源清单
後漢書纂 : 十二卷 / 范〓[i.e. 曄]譔 ; 淩濛〓[i.e. 初]纂. and Hou Han shu zuan : shi er juan / Fan Ye zhuan ; Ling Mengchu zuan.,https://figgy.princeton.edu/concern/multi_volume_works/12e033b7-c302-4096-9a32-691ef896b114/manifest,清单_普林斯顿古籍1911前.csv
易經全題窽會編 : 十三卷 / 容宇光著. and Yi jing quan ti kuan hui bian : shi san juan / Rong Yuguang zhu.,https://figgy.princeton.edu/concern/multi_volume_works/e3e93529-a045-4604-a977-2a62169ef4ca/manifest,清单_普林斯顿古籍1911前.csv
歷朝文選 : 五十卷 / 姚翼編次 ; [姚] 三才校正 ; [姚] 四聰督梓. and Li chao wen xuan : wu shi juan / Yao Yi bian ci ; [Yao] Sancai jiao zheng ; [Yao] Sicong du zi.,https://figgy.princeton.edu/concern/multi_volume_works/25f7af2d-8043-43af-b6d0-9489408d7483/manifest,清单_普林斯顿古籍1911前.csv
通鑑綱目要畧 : 十二卷 / 秦繼宗編 ; 胡士容訂. and Tong jian gang mu yao lue : shi er juan / Qin Qizong bian ; Hu Shi rong ding.,https://figgy.princeton.edu/concern/multi_volume_works/cb0e6767-b579-43b6-8a92-3393eeafa04d/manifest,清单_普林斯顿古籍1911前.csv
左傳鈔評 : 十二卷 / 穆文熙批輯 ; 石星校閱. and Zuo zhuan chao ping : shi er juan / Mu Wenxi pi ji ; Shi Xing jiao yue.,https://figgy.princeton.edu/concern/multi_volume_works/3192b17e-f34b-4b8e-9eb7-6be6849667d6/manifest,清单_普林斯顿古籍1911前.csv
"毛詩註疏 Reel 2 (卷第八之二至十六至四) and Mao shi zhu shu Cases 3-4, v. 13-24",https://figgy.princeton.edu/concern/scanned_resources/ca5d4931-42d0-4c94-9bb0-a20e1e09366c/manifest,清单_普林斯顿善本Treasures.csv
"陸壯元增節音註精議資治通鑑 Reel 2 (卷第二十六至五十一) and Lu zhuang yuan zeng jie yin zhu jing yi Zi zhi tong jian (Cases 3-4, v. 21-40)",https://figgy.princeton.edu/concern/scanned_resources/f4d397f7-83d1-4a4e-91e7-89339299189b/manifest,清单_普林斯顿善本Treasures.csv
"陸壯元增節音註精議資治通鑑 Reel 4 (卷第七十八至一百一) and Lu zhuang yuan zeng jie yin zhu jing yi Zi zhi tong jian (Cases 7-8, v. 61-80)",https://figgy.princeton.edu/concern/scanned_resources/c9b90003-be7e-4eef-88e8-7034c4594826/manifest,清单_普林斯顿善本Treasures.csv
"資治通鑑綱目犖觀 Reel 1 (卷之一至八；雲間陳繼儒眉公輯) and Zi zhi tong jian gang mu luo guan, v. 1-5; Yun jian chen ji ru mei gong ji",https://figgy.princeton.edu/concern/scanned_resources/fd401d1b-fdd5-4256-962e-76f7cc177b45/manifest,清单_普林斯顿善本Treasures.csv
"資治通鑑綱目犖觀 Reel 3 (卷之二十至二十八) and Zi zhi tong jian gang mu luo guan, v. 11-15",https://figgy.princeton.edu/concern/scanned_resources/370d7cdd-5088-4ad0-914d-a8427a6a839e/manifest,清单_普林斯顿善本Treasures.csv
