id,title,manifest,cat,bu,jp_cross,卷数,subject,fmt
2011457018,Yilong Xian zhi : liu juan,https://www.loc.gov/item/2011457018/manifest.json,guji,史部,0,7,sichuan sheng|di li lei|yilong xian|shi bu|dou hui jun xian zhi shu,book
2011457020,Xingwen Xian zhi : liu juan,https://www.loc.gov/item/2011457020/manifest.json,guji,史部,0,7,sichuan sheng|di li lei|xingwen xian|shi bu|dou hui jun xian zhi shu,book
2011457048,"Gao Shan zhi : wu juan, fu zhi xu yi juan",https://www.loc.gov/item/2011457048/manifest.json,guji,史部,0,7,zhuan zhi zhi shu|shi bu|di li lei,book
2011457115,Nan chao si kao : liu juan,https://www.loc.gov/item/2011457115/manifest.json,guji,史部,0,7,si guan|di li lei|shi bu|zhuan zhi zhi shu,book
2011457172,"Qingcheng Xian zhi : [si juan, juan shou yi juan]",https://www.loc.gov/item/2011457172/manifest.json,guji,,0,7,gaoqing xian (china)|history|高青县 (china)|sources,book
2011457190,Boping xian zhi : liu juan],https://www.loc.gov/item/2011457190/manifest.json,guji,,0,7,chiping xian (china)|茌平县 (china)|history|sources,book
2012402088,Xi chao zou yi : liu juan,https://www.loc.gov/item/2012402088/manifest.json,guji,,0,7,,book
2012402091,Kui yong liu du : liu juan,https://www.loc.gov/item/2012402091/manifest.json,guji,,0,7,,manuscript/mixed material
2012402095,Su mi tan shi guang : liu juan,https://www.loc.gov/item/2012402095/manifest.json,guji,,0,7,,book
2012402102,Jing xin ji shi chao : liu juan,https://www.loc.gov/item/2012402102/manifest.json,guji,,0,7,,manuscript/mixed material
2012402120,Dong Sikou shu cao : liu juan,https://www.loc.gov/item/2012402120/manifest.json,guji,,0,7,"china|ming dynasty|history|sources|chinese history, ming dynasty",book
2012402141,Xian quan ji : liu juan,https://www.loc.gov/item/2012402141/manifest.json,guji,集部,0,7,bie ji lei|ji bu,book
2012402143,Zhu tong ren xian sheng wen ji : liu juan,https://www.loc.gov/item/2012402143/manifest.json,guji,集部,0,7,bie ji lei|ji bu,book
2012402157,Luo Shan zou shu : qi juan,https://www.loc.gov/item/2012402157/manifest.json,guji,,0,7,,book
2012402179,"Ping shan tang shi ji : wu juan, xu ji yi juan",https://www.loc.gov/item/2012402179/manifest.json,guji,,0,7,,book
2012402187,San fan zhi lüe : liu juan,https://www.loc.gov/item/2012402187/manifest.json,guji,,0,7,,manuscript/mixed material
2012402193,Su wen : liu juan,https://www.loc.gov/item/2012402193/manifest.json,guji,,0,7,,book
2012402218,Tonghuage shi xu chao : liu juan,https://www.loc.gov/item/2012402218/manifest.json,guji,集部,0,7,bie ji lei|ji bu,book
2012402222,Ou cun cao shi ji : liu juan,https://www.loc.gov/item/2012402222/manifest.json,guji,集部,0,7,bie ji lei|ji bu,book
2012402229,Zui le tang wen ji : liu juan,https://www.loc.gov/item/2012402229/manifest.json,guji,集部,0,7,bie ji lei|ji bu,book
2012402232,Bupiao cun gao : liu juan,https://www.loc.gov/item/2012402232/manifest.json,guji,集部,0,7,bie ji lei|ji bu,book
2012402241,Yi fang kao : liu juan,https://www.loc.gov/item/2012402241/manifest.json,guji,子部,0,7,zi bu|yi jia lei,book
2012402262,Xi yuan lu yi zheng : si juan,https://www.loc.gov/item/2012402262/manifest.json,guji,,0,7,,book
2012402266,Ke chang tiao li : cun qi juan,https://www.loc.gov/item/2012402266/manifest.json,guji,史部,0,7,shi bu|zheng shu lei,manuscript/mixed material
2012402271,Xiao xue cun she xiang zhu : liu juan,https://www.loc.gov/item/2012402271/manifest.json,guji,子部,0,7,zi bu|ru jia lei,book
2012402320,Zi lei biao yun : liu juan,https://www.loc.gov/item/2012402320/manifest.json,guji,,0,7,,book
2012402348,Mu tian zi zhuan : liu juan,https://www.loc.gov/item/2012402348/manifest.json,guji,,0,7,,book
2012402377,Zong du zou yi : liu juan,https://www.loc.gov/item/2012402377/manifest.json,guji,,0,7,,book
2012402386,Zeng bu wan bao quan shu : liu juan,https://www.loc.gov/item/2012402386/manifest.json,guji,,0,7,,book
2012402450,Zhuo zun yuan cong gao : liu juan,https://www.loc.gov/item/2012402450/manifest.json,guji,,0,7,,manuscript/mixed material
2012402464,Niu Feishi Shuo wen xin fu kao : liu juan ; Shuo wen xu kao : yi juan,https://www.loc.gov/item/2012402464/manifest.json,guji,,0,7,,book
2012402472,"Zhi fang wai ji : liu juan, juan shou yi juan",https://www.loc.gov/item/2012402472/manifest.json,guji,,0,7,,book
2012402537,"Bu ju mi sui : tu jie er juan, xin zeng san juan / Xiong Dian ji zhu ; Zhou Ji lei ji",https://www.loc.gov/item/2012402537/manifest.json,guji,,0,7,,book
