id,title,manifest,keyword
,茅荑科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-14584/manifest.json,本草
,大戟科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-12763/manifest.json,本草
,楡科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-13098/manifest.json,本草
,山茱萸科　水木譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-09455/manifest.json,本草
,水族写眞,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-00707/manifest.json,本草
,殼斗科　枹譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-14315/manifest.json,本草
,鼠李科　鼠梨集説,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-04824/manifest.json,本草
,茄科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-11718/manifest.json,本草
,楊柳科　デロ楊譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-16056/manifest.json,本草
,薔薇科　桃譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-06971/manifest.json,本草
,棕櫚科　上,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-16771/manifest.json,本草
,芸香科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-03313/manifest.json,本草
,狗骨科　秦皮譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-11311/manifest.json,本草
,魚譜　一,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-00256/manifest.json,本草
,石榴科　桃金嬢,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-09034/manifest.json,本草
,鼠李科　鼠梨集説,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-04700/manifest.json,本草
,桑科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-13542/manifest.json,本草
,殼斗科　槲譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-14221/manifest.json,本草
,殼斗科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-14983/manifest.json,本草
,忍冬科　上,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-09490/manifest.json,本草
,松柏科　松譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-17228/manifest.json,本草
,楊柳科　デロ楊譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-16066/manifest.json,本草
,無患樹科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-04943/manifest.json,本草
,樟科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-11982/manifest.json,本草
,素馨科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-11236/manifest.json,本草
,自ミ至テ,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-01693/manifest.json,本草
,蝉譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-01586/manifest.json,本草
,薔薇科　薔薇譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-07667/manifest.json,本草
,薔薇科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-08238/manifest.json,本草
,秦椒譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-03259/manifest.json,本草
,豆科　下,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-05907/manifest.json,本草
,棕櫚科　下,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-17362/manifest.json,本草
,蝉譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-01591/manifest.json,本草
,虎耳草科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-08580/manifest.json,本草
,忍冬科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-09590/manifest.json,本草
,樟科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-12088/manifest.json,本草
,忍冬科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-09662/manifest.json,本草
,薔薇科　薔薇譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-07509/manifest.json,本草
,蟲譜図説四,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-01996/manifest.json,本草
