id,title,manifest,db,tw_title
THERS_da-N0001_20230901_06522,〔切紙　;　案〕,https://da.adm.thers.ac.jp/iiif/1/takagi/N0001-20230901-06522/manifest.json,THERS_da,切紙
arc_books-NIJL_100382094,切紙,https://www.dh-jac.net/db1/books/NIJL-100382094/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100224839,切紙伝目,https://www.dh-jac.net/db1/books/NIJL-100224839/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100166713,古今切紙・伊勢物語切紙・徒然草三ケ伝,https://www.dh-jac.net/db1/books/NIJL-100166713/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100038139,古今切紙,https://www.dh-jac.net/db1/books/NIJL-100038139/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100270226,悉曇十二通切紙大事,https://www.dh-jac.net/db1/books/NIJL-100270226/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100196786,遍唄切紙,https://www.dh-jac.net/db1/books/NIJL-100196786/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100196825,別伝切紙,https://www.dh-jac.net/db1/books/NIJL-100196825/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100419842,古今切紙,https://www.dh-jac.net/db1/books/NIJL-100419842/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100317700,道三切紙,https://www.dh-jac.net/db1/books/NIJL-100317700/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100146991,百通切紙,https://www.dh-jac.net/db1/books/NIJL-100146991/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100224829,吉川氏切紙,https://www.dh-jac.net/db1/books/NIJL-100224829/portal/manifest.json,arc_books,切紙
THERS_da-N0001_20230901_85702,〔和歌切紙〕,https://da.adm.thers.ac.jp/iiif/1/takagi/N0001-20230901-85702/manifest.json,THERS_da,切紙
arc_books-NIJL_100382292,道三切紙,https://www.dh-jac.net/db1/books/NIJL-100382292/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100331098,要門切紙,https://www.dh-jac.net/db1/books/NIJL-100331098/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100196784,城取伝切紙,https://www.dh-jac.net/db1/books/NIJL-100196784/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100181340,点寸法切紙,https://www.dh-jac.net/db1/books/NIJL-100181340/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100196779,号令伝切紙,https://www.dh-jac.net/db1/books/NIJL-100196779/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100196780,国政伝切紙,https://www.dh-jac.net/db1/books/NIJL-100196780/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100208209,遍唄切紙解,https://www.dh-jac.net/db1/books/NIJL-100208209/portal/manifest.json,arc_books,切紙
arc_books-NIJL_200005668,和歌三部抄切紙・武者小路実建書付／安政二年四月十七日・冷泉為村書簡・武者小路実岳書簡,https://www.dh-jac.net/db1/books/NIJL-200005668/portal/manifest.json,arc_books,切紙
